"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14142","test_order_button_for_logged_in_user","tests","Tue Jul 15 23:16:25 MSK 2025","passed","Tue Jul 15 23:16:39 MSK 2025","TestMainPage","test_main_page","",""
"","24745","test_logout","tests","Tue Jul 15 23:08:05 MSK 2025","passed","Tue Jul 15 23:08:30 MSK 2025","TestAccount","test_account","",""
"","7507","test_show_password_icon_activates_password_input","tests","Tue Jul 15 23:17:16 MSK 2025","passed","Tue Jul 15 23:17:24 MSK 2025","TestRecoveryPassword","test_recovery_password","",""
"","4491","test_click_feed_tab","tests","Tue Jul 15 23:14:05 MSK 2025","passed","Tue Jul 15 23:14:09 MSK 2025","TestMainPage","test_main_page","",""
"","6475","test_ingredient_counter_increases","tests","Tue Jul 15 23:15:31 MSK 2025","passed","Tue Jul 15 23:15:37 MSK 2025","TestMainPage","test_main_page","",""
"","14739","test_order_number_in_work","tests","Tue Jul 15 23:13:26 MSK 2025","passed","Tue Jul 15 23:13:41 MSK 2025","TestFeed","test_feed","",""
"","14547","test_counter_increases[counter_locator1-today's orders]","tests","Tue Jul 15 23:12:52 MSK 2025","passed","Tue Jul 15 23:13:07 MSK 2025","TestFeed","test_feed","",""
"","6760","test_ingredient_modal_open_and_close","tests","Tue Jul 15 23:15:14 MSK 2025","passed","Tue Jul 15 23:15:21 MSK 2025","TestMainPage","test_main_page","",""
"","11656","test_redirect_to_account_page","tests","Tue Jul 15 23:07:17 MSK 2025","passed","Tue Jul 15 23:07:29 MSK 2025","TestAccount","test_account","",""
"","0","test_counter_increases[counter_locator1-today's orders]","","Tue Jul 15 23:06:46 MSK 2025","skipped","Tue Jul 15 23:06:46 MSK 2025","","","",""
"","15508","test_redirect_to_order_history","tests","Tue Jul 15 23:07:38 MSK 2025","passed","Tue Jul 15 23:07:54 MSK 2025","TestAccount","test_account","",""
"","6191","test_recovery_password_email_submit","tests","Tue Jul 15 23:17:00 MSK 2025","passed","Tue Jul 15 23:17:06 MSK 2025","TestRecoveryPassword","test_recovery_password","",""
"","12488","test_counter_increases[counter_locator0-total orders]","tests","Tue Jul 15 23:11:43 MSK 2025","passed","Tue Jul 15 23:11:56 MSK 2025","TestFeed","test_feed","",""
"","3561","test_redirect_to_recovery_page_by_recovery_btn","tests","Tue Jul 15 23:16:47 MSK 2025","passed","Tue Jul 15 23:16:51 MSK 2025","TestRecoveryPassword","test_recovery_password","",""
"","7109","test_order_modal_opens_on_click","tests","Tue Jul 15 23:08:49 MSK 2025","passed","Tue Jul 15 23:08:56 MSK 2025","TestFeed","test_feed","",""
"","10353","test_user_orders_appear_in_feed","tests","Tue Jul 15 23:10:32 MSK 2025","passed","Tue Jul 15 23:10:43 MSK 2025","TestFeed","test_feed","",""
"","5860","test_click_constructor_tab","tests","Tue Jul 15 23:13:50 MSK 2025","passed","Tue Jul 15 23:13:56 MSK 2025","TestMainPage","test_main_page","",""
